id,planet,house,interpretation_text
121,Chiron,1,Chiron in House 1: [Add your interpretation here]
122,Chiron,2,Chiron in House 2: [Add your interpretation here]
123,Chiron,3,Chiron in House 3: [Add your interpretation here]
124,Chiron,4,Chiron in House 4: [Add your interpretation here]
125,Chiron,5,Chiron in House 5: [Add your interpretation here]
126,Chiron,6,Chiron in House 6: [Add your interpretation here]
127,Chiron,7,Chiron in House 7: [Add your interpretation here]
128,Chiron,8,Chiron in House 8: [Add your interpretation here]
129,Chiron,9,Chiron in House 9: [Add your interpretation here]
130,Chiron,10,Chiron in House 10: [Add your interpretation here]
131,Chiron,11,Chiron in House 11: [Add your interpretation here]
132,Chiron,12,Chiron in House 12: [Add your interpretation here]
61,Jupiter,1,Jupiter in House 1: [Add your interpretation here]
62,Jupiter,2,Jupiter in House 2: [Add your interpretation here]
63,Jupiter,3,Jupiter in House 3: [Add your interpretation here]
64,Jupiter,4,Jupiter in House 4: [Add your interpretation here]
65,Jupiter,5,Jupiter in House 5: [Add your interpretation here]
66,Jupiter,6,Jupiter in House 6: [Add your interpretation here]
67,Jupiter,7,Jupiter in House 7: [Add your interpretation here]
68,Jupiter,8,Jupiter in House 8: [Add your interpretation here]
69,Jupiter,9,Jupiter in House 9: [Add your interpretation here]
70,Jupiter,10,Jupiter in House 10: [Add your interpretation here]
71,Jupiter,11,Jupiter in House 11: [Add your interpretation here]
72,Jupiter,12,Jupiter in House 12: [Add your interpretation here]
49,Mars,1,Mars in House 1: [Add your interpretation here]
50,Mars,2,Mars in House 2: [Add your interpretation here]
51,Mars,3,Mars in House 3: [Add your interpretation here]
52,Mars,4,Mars in House 4: [Add your interpretation here]
53,Mars,5,Mars in House 5: [Add your interpretation here]
54,Mars,6,Mars in House 6: [Add your interpretation here]
55,Mars,7,Mars in House 7: [Add your interpretation here]
56,Mars,8,Mars in House 8: [Add your interpretation here]
57,Mars,9,Mars in House 9: [Add your interpretation here]
58,Mars,10,Mars in House 10: [Add your interpretation here]
59,Mars,11,Mars in House 11: [Add your interpretation here]
60,Mars,12,Mars in House 12: [Add your interpretation here]
25,Mercury,1,Mercury in House 1: [Add your interpretation here]
26,Mercury,2,Mercury in House 2: [Add your interpretation here]
27,Mercury,3,Mercury in House 3: [Add your interpretation here]
28,Mercury,4,Mercury in House 4: [Add your interpretation here]
29,Mercury,5,Mercury in House 5: [Add your interpretation here]
30,Mercury,6,Mercury in House 6: [Add your interpretation here]
31,Mercury,7,Mercury in House 7: [Add your interpretation here]
32,Mercury,8,Mercury in House 8: [Add your interpretation here]
33,Mercury,9,Mercury in House 9: [Add your interpretation here]
34,Mercury,10,Mercury in House 10: [Add your interpretation here]
35,Mercury,11,Mercury in House 11: [Add your interpretation here]
36,Mercury,12,Mercury in House 12: [Add your interpretation here]
13,Moon,1,Moon in House 1: [Add your interpretation here]
14,Moon,2,Moon in House 2: [Add your interpretation here]
15,Moon,3,Moon in House 3: [Add your interpretation here]
16,Moon,4,Moon in House 4: [Add your interpretation here]
17,Moon,5,Moon in House 5: [Add your interpretation here]
18,Moon,6,Moon in House 6: [Add your interpretation here]
19,Moon,7,Moon in House 7: [Add your interpretation here]
20,Moon,8,Moon in House 8: [Add your interpretation here]
21,Moon,9,Moon in House 9: [Add your interpretation here]
22,Moon,10,Moon in House 10: [Add your interpretation here]
23,Moon,11,Moon in House 11: [Add your interpretation here]
24,Moon,12,Moon in House 12: [Add your interpretation here]
97,Neptune,1,Neptune in House 1: [Add your interpretation here]
98,Neptune,2,Neptune in House 2: [Add your interpretation here]
99,Neptune,3,Neptune in House 3: [Add your interpretation here]
100,Neptune,4,Neptune in House 4: [Add your interpretation here]
101,Neptune,5,Neptune in House 5: [Add your interpretation here]
102,Neptune,6,Neptune in House 6: [Add your interpretation here]
103,Neptune,7,Neptune in House 7: [Add your interpretation here]
104,Neptune,8,Neptune in House 8: [Add your interpretation here]
105,Neptune,9,Neptune in House 9: [Add your interpretation here]
106,Neptune,10,Neptune in House 10: [Add your interpretation here]
107,Neptune,11,Neptune in House 11: [Add your interpretation here]
108,Neptune,12,Neptune in House 12: [Add your interpretation here]
109,Pluto,1,Pluto in House 1: [Add your interpretation here]
110,Pluto,2,Pluto in House 2: [Add your interpretation here]
111,Pluto,3,Pluto in House 3: [Add your interpretation here]
112,Pluto,4,Pluto in House 4: [Add your interpretation here]
113,Pluto,5,Pluto in House 5: [Add your interpretation here]
114,Pluto,6,Pluto in House 6: [Add your interpretation here]
115,Pluto,7,Pluto in House 7: [Add your interpretation here]
116,Pluto,8,Pluto in House 8: [Add your interpretation here]
117,Pluto,9,Pluto in House 9: [Add your interpretation here]
118,Pluto,10,Pluto in House 10: [Add your interpretation here]
119,Pluto,11,Pluto in House 11: [Add your interpretation here]
120,Pluto,12,Pluto in House 12: [Add your interpretation here]
73,Saturn,1,Saturn in House 1: [Add your interpretation here]
74,Saturn,2,Saturn in House 2: [Add your interpretation here]
75,Saturn,3,Saturn in House 3: [Add your interpretation here]
76,Saturn,4,Saturn in House 4: [Add your interpretation here]
77,Saturn,5,Saturn in House 5: [Add your interpretation here]
78,Saturn,6,Saturn in House 6: [Add your interpretation here]
79,Saturn,7,Saturn in House 7: [Add your interpretation here]
80,Saturn,8,Saturn in House 8: [Add your interpretation here]
81,Saturn,9,Saturn in House 9: [Add your interpretation here]
82,Saturn,10,Saturn in House 10: [Add your interpretation here]
83,Saturn,11,Saturn in House 11: [Add your interpretation here]
84,Saturn,12,Saturn in House 12: [Add your interpretation here]
1,Sun,1,Sun in House 1: [Add your interpretation here]
2,Sun,2,Sun in House 2: [Add your interpretation here]
3,Sun,3,Sun in House 3: [Add your interpretation here]
4,Sun,4,Sun in House 4: [Add your interpretation here]
5,Sun,5,Sun in House 5: [Add your interpretation here]
6,Sun,6,Sun in House 6: [Add your interpretation here]
7,Sun,7,Sun in House 7: [Add your interpretation here]
8,Sun,8,Sun in House 8: [Add your interpretation here]
9,Sun,9,Sun in House 9: [Add your interpretation here]
10,Sun,10,Sun in House 10: [Add your interpretation here]
11,Sun,11,Sun in House 11: [Add your interpretation here]
12,Sun,12,Sun in House 12: [Add your interpretation here]
85,Uranus,1,Uranus in House 1: [Add your interpretation here]
86,Uranus,2,Uranus in House 2: [Add your interpretation here]
87,Uranus,3,Uranus in House 3: [Add your interpretation here]
88,Uranus,4,Uranus in House 4: [Add your interpretation here]
89,Uranus,5,Uranus in House 5: [Add your interpretation here]
90,Uranus,6,Uranus in House 6: [Add your interpretation here]
91,Uranus,7,Uranus in House 7: [Add your interpretation here]
92,Uranus,8,Uranus in House 8: [Add your interpretation here]
93,Uranus,9,Uranus in House 9: [Add your interpretation here]
94,Uranus,10,Uranus in House 10: [Add your interpretation here]
95,Uranus,11,Uranus in House 11: [Add your interpretation here]
96,Uranus,12,Uranus in House 12: [Add your interpretation here]
37,Venus,1,Venus in House 1: [Add your interpretation here]
38,Venus,2,Venus in House 2: [Add your interpretation here]
39,Venus,3,Venus in House 3: [Add your interpretation here]
40,Venus,4,Venus in House 4: [Add your interpretation here]
41,Venus,5,Venus in House 5: [Add your interpretation here]
42,Venus,6,Venus in House 6: [Add your interpretation here]
43,Venus,7,Venus in House 7: [Add your interpretation here]
44,Venus,8,Venus in House 8: [Add your interpretation here]
45,Venus,9,Venus in House 9: [Add your interpretation here]
46,Venus,10,Venus in House 10: [Add your interpretation here]
47,Venus,11,Venus in House 11: [Add your interpretation here]
48,Venus,12,Venus in House 12: [Add your interpretation here]
